id,label
0,0
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,1
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,0
532,1
